id,phone_sequence
fadg0_si1279,hIwLAJaIwDcBLMrDwLMwQ
fadg0_si1909,tbLKFLkwDBPJLIFBULhwLDyUlwKr
fadg0_si649,wLJcQrUJtrCcBbgLAcQTyPDwLMywQLHrLHwJwnwDIrJLHbnbLMtrQvrInFBwLABymrKwcLH
fadg0_sx109,KyJLBwLMwDJLHIrwEuIrbELABaDcJLMyLHJBFLH
fadg0_sx19,cBPCwDcCJFQSwnrLAwDatwDLhytBnDCUy
fadg0_sx199,TcDLiKwBLkIwDKOwmcQGILmkwLAJLHFKrLMwLAwDLMsLzwJLkwUyUwJ
fadg0_sx289,SnlrLHIytLAcBaKwUrQwIwyTPUJtBnwDJybmB
fadg0_sx379,HbDLuwDLJLMIgQwyEScUDUaDLlrJLMsU
faks0_si1573,vwULAbeLMwDSFJLlMwCDCcDvbLurLkwDwJLhyTyPmwtBLhFLHJLSrSaIDwDLKbLhy
faks0_si2203,lcwIyUwPCDCUJtrlwJLMgLQJyCELMtPBwKLDe
faks0_si943,HIrLkcLAKDBytaBtagaIrLhcBFBcwLAJLHwLMsKwDU
faks0_sx133,HhyLMJwrIywUaILAwDCyDTwDtrLASwLABcDLi
faks0_sx223,HSOLlcLhBcLirLhaBaLMsLhBFawDlwLurIraK
faks0_sx313,uIaDLtagLtaICUwcDlcLhaLAJLHBctaImyLuFe
faks0_sx403,vrSaILuIFLADJwnJcQFDCBwyELJLArLMJcDCLhBgbgbCQJwJ
faks0_sx43,nBlrByLHyLNHcaBaIatcDwLAJLABPLmwLk
fcal1_si1403,wcSacSsUlbnDLkwlcLHsKwDJgLAwLABLhBgDwJLCbDctwJLMwLJnBt
fcal1_si2033,hFOLhwLABaBJBKsDLkwNLNIrFBSswnJLMaGIGwBgLlwJ
fcal1_si773,BnmaBLHIaLznLAJLMIgJBFByLtIrJnQIBLksU
fcal1_sx143,lwUJUbDLkrLzwDwtrULhTPLmBJLAwrlwsDlBcBF
fcal1_sx233,vgSsnwDtIySsCyDlwJsCELNlwsnE
fcal1_sx323,lwtaLHIrQwDwlnCLtrCrIgQwEaDLMgC
fcal1_sx413,kbtDyJLSymwKLDymcLHGDLJLAaItCbLiLMirJLArLM
fcal1_sx53,yCDwJwLHBQBcLAbLhTwBwrIryLAwDLMsDJwCLhBU
fcmh0_si1454,cIwLzwcDBcByLlwCsDLMgLiTPULkSrQnIywJLAcCLHwUwKwDUcQaBynJLMrJ
fcmh0_si2084,ScmwLhbmwLMyIPCLlnDCD
fcmh0_si824,JnQBtrCUcCrLiwDLkgUwEwDUgDLHInLHrsKwDLNkIPtyCnDwtbLKrUJUJ
fcmh0_sx104,vyJLMFBcLkgCLhrCcLQsLur
fcmh0_sx14,hytaINnrULlkwUwLuUbCLIyQTPnIQIytaICTwBc
fcmh0_sx194,lswDLzGwcSwDgaLkwKwD
