id,phone_sequence
fadg0_si1279,hIwLAJtaIrwDnFBLMrDwLMwQ
fadg0_si1909,tbLKbnFOwLukuwDBPJLIFBULhwLDyPtNltwKr
fadg0_si649,wLJcQtQtrUJtrCcBgLHlcQvTyDwLMywQLHrLHwJnDrJLHbnLMtrvrInFBwLABymrKnLH
fadg0_sx109,KyJBnLMwDJLHIryEIrbyELuFBFaDcJLMyLHJLBFcLH
fadg0_sx19,cBwCwDcCDLJFQSrSnrLAwDkatwDLhytBcnDLUyC
fadg0_sx199,TncDEDLiwFwBLkIrnwDKOmcQGwLkwLAJLHBFKrLMwLAwDLMsLzwUJUJLMwUyUwcUJ
fadg0_sx289,SnLlrLHIytLAcBaLKwUwrQwrwTyUJLtBnDLJybgbLmB
fadg0_sx379,HbDLkuwLJLMIgLmwyEBnUJDwDUaDLlkrULksU
faks0_si1573,vwULAbDLMcEDEFScJLNwywCcDvbLurLkwnwDwULHTPmwtBLhFLAJLSrSaIDwDLKbLhy
faks0_si2203,lwrQIyUwUtIrwlwJLMgLQJyELMtPBwKDFe
faks0_si943,HIrLkcLAKPDPwDsytaBtgaILhcBFBScLAJLHwLMsKwDUJUJ
faks0_sx133,HyLJnrIywUJUaILAwDyDETwDLtrLASwLABcwDLKiK
faks0_sx223,HBwLlcLhcLiMrLhBaLMsLhFBcwDlcLurIrawK
faks0_sx313,kuIaDLtJgLKJtaICDUwDlcLhaLAJLHctaImyLuFcFSFe
faks0_sx403,vrSaILkuIcFLADJnJcQFBCBSByJLArarLMJcwEwLhBbaCLQJwJ
faks0_sx43,nBlrByLHyLHBaIatcDwLAJLABPLhwLk
fcal1_si1403,wcScSsUlNbwDLkwLmlcwcLHsKwDJgLAwcLABLhBgGDwJLCbDwctwJwLJnBt
fcal1_si2033,hcOcOLhwLABnaJFBKsDLkwNrFBSswJLMaGIywBgLlkwJ
fcal1_si773,BnmnFBLHIaLzwnLAJLMIgJBFcByLtIrwUJnQIBLksU
fcal1_sx143,lwcJbDLkwrLzwDwLtIrULhyLmwBJLAywywrwLlkwnwDcBcFBF
fcal1_sx233,vgcSswDtIyBSsCyQlwJsyECQLlkwnsELE
fcal1_sx323,klwtaLHrQnwDwLklnCLtIrcCrIgQwsEDgFcwDLMgC
fcal1_sx413,kbtNMDyJLSwymwKLDyLmcLHGDLJLAaItCbLiLMirJLArLM
fcal1_sx53,kywDwDwUJwLhHFBcLAbLhTwBnIyLAwDLMsDJwnCLhBU
fcmh0_si1454,cIwLzwDBcBsysLlwCsDLMgLiKTPULMSrQnIywJLAcCLHwUswKwDUcQLQhagByncJLMrwUJ
fcmh0_si2084,ScmcLhbmwLMyLCIPCDLlknDC
fcmh0_si824,JnQBcBQtrCUncCrsLzwDLkgUwEwDUgwEDELHInLHrsKwDNUIPtQyLDCnDkwtQtbLKrwU
fcmh0_sx104,vyJLMwFBnLkgECELQhrcCcLhsLur
fcmh0_sx14,hytaIwNlnsIwUJLMwUwLuUbCLIyQTyPBnQIytaICDTywywBc
fcmh0_sx194,lsvnwDLzGcSwDgaBawLkwKwD
fcmh0_sx284,zbnctLMeaLTyPaILkuTPLkwDLtsQrcQlwJnDLMwtTPLzLHIrsLzwJ
fcmh0_sx374,zaDELuAByCULwKnBtwKtaIBwmwE
fdac1_si1474,vbeJLAyTncbDbDvyUbLhBwUNUNLCaLkwJLMsJLJ
fdac1_si2104,vetegCvyNtNtBagaLsLBgKLkMkwcQlQcBGJyLbQLQBbgwJLM
fdac1_si844,tlvcbecwUJLMnLDCcwLAFBcCQtwsKwDUsywUwLitJsysQLbLNlywLAJLHbDLMJcCQbLiPaBwswLAJLHnIyTwcDLMJ
